"sample_id","Shannon","Simpson","subject_id","visit_number","sample_body_site","study_full_name","project_name"
"ep333268_k90_mv1d",1.05936279060639,0.453091289232237,"e50d0c183689e4053ccb35f8b29ec803",9,"vagina","momspi","Integrative Human Microbiome Project"
"ep333479_k10_mv1d",1.37781236370525,0.527524297120327,"858ed4564f11795ec13dda4c10a3fd9d",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep333479_k20_mv1d",1.82671320756287,0.70589954750029,"858ed4564f11795ec13dda4c10a3fd9d",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep333479_k30_mv1d",1.91607481830992,0.778127617659399,"858ed4564f11795ec13dda4c10a3fd9d",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep334990_k10_mv1d",1.78914136388619,0.745210803271297,"e50d0c183689e4053ccb35f8b29ecfe5",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep334990_k30_mv1d",4.43346163547036,0.972302700766282,"e50d0c183689e4053ccb35f8b29ecfe5",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep334990_k40_mv1d",1.90947254723196,0.754523808718629,"e50d0c183689e4053ccb35f8b29ecfe5",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep336335_k10_mv1d",0.31532812504323,0.142952965868916,"858ed4564f11795ec13dda4c10a405c4",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep336335_k20_mv1d",0.735000228450322,0.250491428615574,"858ed4564f11795ec13dda4c10a405c4",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep336335_k30_mv1d",0.307622794874441,0.120497029992035,"858ed4564f11795ec13dda4c10a405c4",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep336335_k40_mv1d",0.31520160098453,0.112516160339103,"858ed4564f11795ec13dda4c10a405c4",4,"vagina","momspi","Integrative Human Microbiome Project"
"ep337075_k10_mv1d",1.19086820139915,0.618919697526591,"858ed4564f11795ec13dda4c10a40d1a",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep337075_k20_mv1d",0.82451354515828,0.366003634398708,"858ed4564f11795ec13dda4c10a40d1a",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep337075_k30_mv1d",0.780722342606935,0.35934839495889,"858ed4564f11795ec13dda4c10a40d1a",3,"vagina","momspi","Integrative Human Microbiome Project"
"ep337075_k80_mv1d",0.487647356304834,0.1751728228903,"858ed4564f11795ec13dda4c10a40d1a",8,"vagina","momspi","Integrative Human Microbiome Project"
"ep337457_k10_mv1d",2.33655319642938,0.870067391889905,"e50d0c183689e4053ccb35f8b29ed519",1,"vagina","momspi","Integrative Human Microbiome Project"
"ep337457_k20_mv1d",1.28182226865005,0.460598525816909,"e50d0c183689e4053ccb35f8b29ed519",2,"vagina","momspi","Integrative Human Microbiome Project"
"ep337457_k30_mv1d",2.38084908746973,0.850419856427288,"e50d0c183689e4053ccb35f8b29ed519",3,"vagina","momspi","Integrative Human Microbiome Project"
